,date,state,county,city,ipeds_id,college,cases,notes
428,2020-12-11,Illinois,Rock Island,Rock Island,143084.0,Augustana College,134.0,
429,2020-12-11,Illinois,Kane,Aurora,143118.0,Aurora University,101.0,
430,2020-12-11,Illinois,DuPage,Lisle,145619.0,Benedictine University,45.0,
431,2020-12-11,Illinois,Macoupin,Carlinville,143288.0,Blackburn College,,
432,2020-12-11,Illinois,Peoria,Peoria,143358.0,Bradley University,429.0,
433,2020-12-11,Illinois,Cook,Chicago,144005.0,Chicago State University,71.0,
434,2020-12-11,Illinois,Cook,Chicago,144281.0,Columbia College Chicago,71.0,
435,2020-12-11,Illinois,Cook,River Forest,144351.0,Concordia University Chicago,63.0,
436,2020-12-11,Illinois,Cook,Chicago,144740.0,DePaul University,50.0,
437,2020-12-11,Illinois,Cook,River Forest,148496.0,Dominican University,151.0,
438,2020-12-11,Illinois,Coles,Charleston,144892.0,Eastern Illinois University,493.0,
439,2020-12-11,Illinois,DuPage,Elmhurst,144962.0,Elmhurst University,146.0,
440,2020-12-11,Illinois,Woodford,Eureka,144971.0,Eureka College,45.0,
441,2020-12-11,Illinois,Cook,University Park,145336.0,Governors State University,45.0,
442,2020-12-11,Illinois,Bond,Greenville,145372.0,Greenville University,76.0,
443,2020-12-11,Illinois,Morgan,Jacksonville,145691.0,Illinois College,72.0,
444,2020-12-11,Illinois,Cook,Chicago,145725.0,Illinois Institute of Technology,133.0,
445,2020-12-11,Illinois,McLean,Normal,145813.0,Illinois State University,1945.0,
446,2020-12-11,Illinois,McLean,Bloomington,145646.0,Illinois Wesleyan University,213.0,
447,2020-12-11,Illinois,Clinton,Centralia,146366.0,Kaskaskia College,97.0,
448,2020-12-11,Illinois,Knox,Galesburg,146427.0,Knox College,48.0,
449,2020-12-11,Illinois,Lake,Lake Forest,146481.0,Lake Forest College,8.0,
450,2020-12-11,Illinois,Coles,Mattoon,146506.0,Lake Land College,94.0,
451,2020-12-11,Illinois,Will,Romeoville,146612.0,Lewis University,251.0,
452,2020-12-11,Illinois,Cook,Chicago,146719.0,Loyola University Chicago,215.0,
453,2020-12-11,Illinois,St. Clair,Lebanon,147013.0,McKendree University,197.0,
454,2020-12-11,Illinois,DuPage,Downers Grove,143853.0,Midwestern University at Downers Grove,105.0,
455,2020-12-11,Illinois,Macon,Decatur,147244.0,Millikin University,183.0,
456,2020-12-11,Illinois,Warren,Monmouth,147341.0,Monmouth College,44.0,
457,2020-12-11,Illinois,Cook,Chicago,147369.0,Moody Bible Institute,76.0,
458,2020-12-11,Illinois,DuPage,Naperville,147660.0,North Central College,260.0,
459,2020-12-11,Illinois,Cook,Chicago,147679.0,North Park University,157.0,
460,2020-12-11,Illinois,Cook,Chicago,147776.0,Northeastern Illinois University,189.0,
461,2020-12-11,Illinois,Dekalb,Dekalb,147703.0,Northern Illinois University ,589.0,
462,2020-12-11,Illinois,Cook,Evanston,147767.0,Northwestern University,394.0,
463,2020-12-11,Illinois,Kankakee,Bourbonnais,147828.0,Olivet Nazarene University,70.0,
464,2020-12-11,Illinois,Champaign,Champaign,147916.0,Parkland College,199.0,
465,2020-12-11,Illinois,Jersey,Elsah,148016.0,Principia College,3.0,
466,2020-12-11,Illinois,Adams,Quincy,148131.0,Quincy University,267.0,
467,2020-12-11,Illinois,Winnebago,Rockford,148405.0,Rockford University,85.0,
468,2020-12-11,Illinois,Cook,Chicago,148627.0,Saint Xavier University,211.0,
469,2020-12-11,Illinois,Cook,Chicago,143048.0,School of the Art Institute of Chicago,41.0,
470,2020-12-11,Illinois,Saline,Harrisburg,148937.0,Southeastern Illinois College,28.0,
471,2020-12-11,Illinois,Jackson,Carbondale,149222.0,Southern Illinois University Carbondale,239.0,
472,2020-12-11,Illinois,Madison,Edwardsville,149231.0,Southern Illinois University Edwardsville,238.0,
473,2020-12-11,Illinois,St. Clair,Belleville,143215.0,Southwestern Illinois College,,
474,2020-12-11,Illinois,Cook,Chicago,144050.0,University of Chicago,471.0,
475,2020-12-11,Illinois,Sangamon,Springfield,148654.0,University of Illinois Springfield,177.0,
476,2020-12-11,Illinois,Champaign,Champaign,145637.0,University of Illinois Urbana-Champaign,4407.0,
477,2020-12-11,Illinois,Cook,Chicago,145600.0,University of Illinois at Chicago,1220.0,
478,2020-12-11,Illinois,McDonough,Macomb,149772.0,Western Illinois University,292.0,
479,2020-12-11,Illinois,DuPage,Wheaton,149781.0,Wheaton College,10.0,
